CARD_TYPE,COUNT,PERIOD,TRAIN_LINE
Adult,"4,108,485",December 2018,T4 Eastern Suburbs and Illawarra Line
Child/Youth,"211,803",December 2018,T4 Eastern Suburbs and Illawarra Line
Concession,"191,743",December 2018,T4 Eastern Suburbs and Illawarra Line
CTP,"81,424",December 2018,T4 Eastern Suburbs and Illawarra Line
Day Pass Child/Youth w/o SAF,nan,December 2018,T4 Eastern Suburbs and Illawarra Line
Day Pass without SAF,37,December 2018,T4 Eastern Suburbs and Illawarra Line
Employee,"46,505",December 2018,T4 Eastern Suburbs and Illawarra Line
Free Travel,"5,915",December 2018,T4 Eastern Suburbs and Illawarra Line
School Student,"74,772",December 2018,T4 Eastern Suburbs and Illawarra Line
Senior/Pensioner,"468,813",December 2018,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Adult,"38,917",December 2018,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Child/Youth,"11,600",December 2018,T4 Eastern Suburbs and Illawarra Line
Adult,"507,801",December 2018,T5 Cumberland Line
Child/Youth,"29,006",December 2018,T5 Cumberland Line
Concession,"33,746",December 2018,T5 Cumberland Line
CTP,"4,862",December 2018,T5 Cumberland Line
Employee,"3,895",December 2018,T5 Cumberland Line
Free Travel,196,December 2018,T5 Cumberland Line
School Student,"12,586",December 2018,T5 Cumberland Line
Senior/Pensioner,"69,332",December 2018,T5 Cumberland Line
Sgl Trip Rail Adult,"2,305",December 2018,T5 Cumberland Line
Sgl Trip Rail Child/Youth,622,December 2018,T5 Cumberland Line
Adult,"30,398",December 2018,T6 Carlingford Line
Child/Youth,"1,236",December 2018,T6 Carlingford Line
Concession,"1,652",December 2018,T6 Carlingford Line
CTP,631,December 2018,T6 Carlingford Line
Day Pass without SAF,nan,December 2018,T6 Carlingford Line
Employee,"1,265",December 2018,T6 Carlingford Line
Free Travel,18,December 2018,T6 Carlingford Line
School Student,819,December 2018,T6 Carlingford Line
Senior/Pensioner,"3,484",December 2018,T6 Carlingford Line
Sgl Trip Rail Adult,63,December 2018,T6 Carlingford Line
Sgl Trip Rail Child/Youth,9,December 2018,T6 Carlingford Line
Adult,"98,591",December 2018,T7 Olympic Park Line
Child/Youth,"5,121",December 2018,T7 Olympic Park Line
Concession,"5,333",December 2018,T7 Olympic Park Line
CTP,"1,884",December 2018,T7 Olympic Park Line
Day Pass without SAF,nan,December 2018,T7 Olympic Park Line
Employee,332,December 2018,T7 Olympic Park Line
Free Travel,37,December 2018,T7 Olympic Park Line
School Student,"1,031",December 2018,T7 Olympic Park Line
Senior/Pensioner,"7,661",December 2018,T7 Olympic Park Line
Sgl Trip Rail Adult,"1,065",December 2018,T7 Olympic Park Line
Sgl Trip Rail Child/Youth,204,December 2018,T7 Olympic Park Line
Adult,"538,261",December 2018,Blue Mountains Line
Child/Youth,"41,482",December 2018,Blue Mountains Line
Concession,"33,674",December 2018,Blue Mountains Line
CTP,"7,277",December 2018,Blue Mountains Line
Day Pass Child/Youth w/o SAF,nan,December 2018,Blue Mountains Line
Day Pass without SAF,36,December 2018,Blue Mountains Line
Employee,"10,062",December 2018,Blue Mountains Line
Free Travel,783,December 2018,Blue Mountains Line
School Student,"15,264",December 2018,Blue Mountains Line
Senior/Pensioner,"100,570",December 2018,Blue Mountains Line
Sgl Trip Rail Adult,"5,435",December 2018,Blue Mountains Line
Sgl Trip Rail Child/Youth,"1,917",December 2018,Blue Mountains Line
Adult,"898,635",December 2018,Central Coast Newcastle Line
Child/Youth,"72,774",December 2018,Central Coast Newcastle Line
Concession,"63,311",December 2018,Central Coast Newcastle Line
CTP,"12,880",December 2018,Central Coast Newcastle Line
Day Pass Child/Youth w/o SAF,nan,December 2018,Central Coast Newcastle Line
Day Pass without SAF,53,December 2018,Central Coast Newcastle Line
Employee,"19,078",December 2018,Central Coast Newcastle Line
Free Travel,"2,461",December 2018,Central Coast Newcastle Line
School Student,"34,704",December 2018,Central Coast Newcastle Line
Senior/Pensioner,"205,622",December 2018,Central Coast Newcastle Line
Sgl Trip Rail Adult,"14,593",December 2018,Central Coast Newcastle Line
Sgl Trip Rail Child/Youth,"4,543",December 2018,Central Coast Newcastle Line
Adult,"35,664",December 2018,Hunter Line
Child/Youth,"5,346",December 2018,Hunter Line
Concession,"3,905",December 2018,Hunter Line
CTP,"1,155",December 2018,Hunter Line
Day Pass Child/Youth w/o SAF,nan,December 2018,Hunter Line
Day Pass without SAF,32,December 2018,Hunter Line
Employee,560,December 2018,Hunter Line
Free Travel,167,December 2018,Hunter Line
School Student,"2,154",December 2018,Hunter Line
Senior/Pensioner,"14,350",December 2018,Hunter Line
Sgl Trip Rail Adult,839,December 2018,Hunter Line
Sgl Trip Rail Child/Youth,596,December 2018,Hunter Line
Adult,"520,334",December 2018,South Coast Line
Child/Youth,"37,727",December 2018,South Coast Line
Concession,"32,894",December 2018,South Coast Line
CTP,"9,838",December 2018,South Coast Line
Day Pass Child/Youth w/o SAF,nan,December 2018,South Coast Line
Day Pass without SAF,13,December 2018,South Coast Line
Employee,"6,409",December 2018,South Coast Line
Free Travel,789,December 2018,South Coast Line
School Student,"12,379",December 2018,South Coast Line
Senior/Pensioner,"96,174",December 2018,South Coast Line
Sgl Trip Rail Adult,"6,180",December 2018,South Coast Line
Sgl Trip Rail Child/Youth,"1,618",December 2018,South Coast Line
Adult,"49,886",December 2018,Southern Highlands Line
Child/Youth,"7,654",December 2018,Southern Highlands Line
Concession,"3,735",December 2018,Southern Highlands Line
CTP,944,December 2018,Southern Highlands Line
Day Pass without SAF,5,December 2018,Southern Highlands Line
Employee,733,December 2018,Southern Highlands Line
Free Travel,145,December 2018,Southern Highlands Line
School Student,"1,174",December 2018,Southern Highlands Line
Senior/Pensioner,"18,513",December 2018,Southern Highlands Line
Sgl Trip Rail Adult,547,December 2018,Southern Highlands Line
Sgl Trip Rail Child/Youth,245,December 2018,Southern Highlands Line
Adult,"364,129",December 2018,Station Link
Child/Youth,"23,093",December 2018,Station Link
Concession,"32,295",December 2018,Station Link
Day Pass without SAF,nan,December 2018,Station Link
Employee,"1,017",December 2018,Station Link
Free Travel,262,December 2018,Station Link
School Student,"10,023",December 2018,Station Link
Senior/Pensioner,"27,296",December 2018,Station Link
Sgl Trip Rail Adult,332,December 2018,Station Link
Sgl Trip Rail Child/Youth,132,December 2018,Station Link
Adult,"3,392,689",December 2018,T1 North Shore Line
Child/Youth,"214,877",December 2018,T1 North Shore Line
Concession,"193,883",December 2018,T1 North Shore Line
CTP,"58,319",December 2018,T1 North Shore Line
Day Pass Child/Youth w/o SAF,nan,December 2018,T1 North Shore Line
Day Pass without SAF,13,December 2018,T1 North Shore Line
Employee,"29,900",December 2018,T1 North Shore Line
Free Travel,"4,909",December 2018,T1 North Shore Line
School Student,"83,177",December 2018,T1 North Shore Line
Senior/Pensioner,"358,209",December 2018,T1 North Shore Line
Sgl Trip Rail Adult,"34,197",December 2018,T1 North Shore Line
Sgl Trip Rail Child/Youth,"9,565",December 2018,T1 North Shore Line
Adult,"1,600,308",December 2018,T1 Northern Line
Child/Youth,"91,523",December 2018,T1 Northern Line
Concession,"105,175",December 2018,T1 Northern Line
CTP,"24,290",December 2018,T1 Northern Line
Day Pass Child/Youth w/o SAF,nan,December 2018,T1 Northern Line
Day Pass without SAF,7,December 2018,T1 Northern Line
Employee,"15,976",December 2018,T1 Northern Line
Free Travel,"1,269",December 2018,T1 Northern Line
School Student,"42,286",December 2018,T1 Northern Line
Senior/Pensioner,"175,624",December 2018,T1 Northern Line
Sgl Trip Rail Adult,"9,031",December 2018,T1 Northern Line
Sgl Trip Rail Child/Youth,"2,664",December 2018,T1 Northern Line
Adult,"2,994,733",December 2018,T1 Western Line
Child/Youth,"160,745",December 2018,T1 Western Line
Concession,"186,247",December 2018,T1 Western Line
CTP,"46,796",December 2018,T1 Western Line
Day Pass Child/Youth w/o SAF,6,December 2018,T1 Western Line
Day Pass without SAF,102,December 2018,T1 Western Line
Employee,"45,853",December 2018,T1 Western Line
Free Travel,"4,102",December 2018,T1 Western Line
School Student,"77,579",December 2018,T1 Western Line
Senior/Pensioner,"353,910",December 2018,T1 Western Line
Sgl Trip Rail Adult,"23,403",December 2018,T1 Western Line
Sgl Trip Rail Child/Youth,"8,005",December 2018,T1 Western Line
Adult,"1,472,287",December 2018,T2 Inner West Line
Child/Youth,"67,467",December 2018,T2 Inner West Line
Concession,"80,939",December 2018,T2 Inner West Line
CTP,"27,664",December 2018,T2 Inner West Line
Day Pass Child/Youth w/o SAF,nan,December 2018,T2 Inner West Line
Day Pass without SAF,10,December 2018,T2 Inner West Line
Employee,"16,177",December 2018,T2 Inner West Line
Free Travel,"1,260",December 2018,T2 Inner West Line
School Student,"23,184",December 2018,T2 Inner West Line
Senior/Pensioner,"141,719",December 2018,T2 Inner West Line
Sgl Trip Rail Adult,"14,418",December 2018,T2 Inner West Line
Sgl Trip Rail Child/Youth,"3,188",December 2018,T2 Inner West Line
Adult,"1,808,124",December 2018,T2 Leppington Line
Child/Youth,"100,717",December 2018,T2 Leppington Line
Concession,"119,165",December 2018,T2 Leppington Line
CTP,"30,995",December 2018,T2 Leppington Line
Day Pass Child/Youth w/o SAF,nan,December 2018,T2 Leppington Line
Day Pass without SAF,12,December 2018,T2 Leppington Line
Employee,"21,736",December 2018,T2 Leppington Line
Free Travel,"2,004",December 2018,T2 Leppington Line
School Student,"39,784",December 2018,T2 Leppington Line
Senior/Pensioner,"256,360",December 2018,T2 Leppington Line
Sgl Trip Rail Adult,"16,804",December 2018,T2 Leppington Line
Sgl Trip Rail Child/Youth,"4,532",December 2018,T2 Leppington Line
Adult,"2,758,636",December 2018,T8 Airport and South Line
Child/Youth,"136,995",December 2018,T8 Airport and South Line
Concession,"140,314",December 2018,T8 Airport and South Line
CTP,"59,186",December 2018,T8 Airport and South Line
Day Pass Child/Youth w/o SAF,nan,December 2018,T8 Airport and South Line
Day Pass without SAF,34,December 2018,T8 Airport and South Line
Employee,"35,387",December 2018,T8 Airport and South Line
Free Travel,"3,309",December 2018,T8 Airport and South Line
School Student,"44,266",December 2018,T8 Airport and South Line
Senior/Pensioner,"249,493",December 2018,T8 Airport and South Line
Sgl Trip Rail Adult,"117,999",December 2018,T8 Airport and South Line
Sgl Trip Rail Child/Youth,"16,356",December 2018,T8 Airport and South Line
Adult,nan,December 2018,T9 Northern Line
Child/Youth,nan,December 2018,T9 Northern Line
Concession,nan,December 2018,T9 Northern Line
CTP,nan,December 2018,T9 Northern Line
Employee,nan,December 2018,T9 Northern Line
Free Travel,nan,December 2018,T9 Northern Line
School Student,nan,December 2018,T9 Northern Line
Senior/Pensioner,nan,December 2018,T9 Northern Line
Sgl Trip Rail Adult,nan,December 2018,T9 Northern Line
Sgl Trip Rail Child/Youth,nan,December 2018,T9 Northern Line
Total,"30,124,456",December 2018,Grand Total
Adult,nan,January 2019,"T1 North Shore, Northern and Western Line"
Child/Youth,nan,January 2019,"T1 North Shore, Northern and Western Line"
Concession,nan,January 2019,"T1 North Shore, Northern and Western Line"
Day Pass Child/Youth w/o SAF,nan,January 2019,"T1 North Shore, Northern and Western Line"
Day Pass without SAF,nan,January 2019,"T1 North Shore, Northern and Western Line"
Employee,nan,January 2019,"T1 North Shore, Northern and Western Line"
Free Travel,nan,January 2019,"T1 North Shore, Northern and Western Line"
School Student,nan,January 2019,"T1 North Shore, Northern and Western Line"
Senior/Pensioner,nan,January 2019,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Adult,nan,January 2019,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Child/Youth,nan,January 2019,"T1 North Shore, Northern and Western Line"
Adult,nan,January 2019,"T2 Airport, Inner West and South Line"
Child/Youth,nan,January 2019,"T2 Airport, Inner West and South Line"
Concession,nan,January 2019,"T2 Airport, Inner West and South Line"
Day Pass Child/Youth w/o SAF,nan,January 2019,"T2 Airport, Inner West and South Line"
Day Pass without SAF,nan,January 2019,"T2 Airport, Inner West and South Line"
Employee,nan,January 2019,"T2 Airport, Inner West and South Line"
Free Travel,nan,January 2019,"T2 Airport, Inner West and South Line"
School Student,nan,January 2019,"T2 Airport, Inner West and South Line"
Senior/Pensioner,nan,January 2019,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Adult,nan,January 2019,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Child/Youth,nan,January 2019,"T2 Airport, Inner West and South Line"
Adult,"1,729,333",January 2019,T3 Bankstown Line
Child/Youth,"112,732",January 2019,T3 Bankstown Line
Concession,"104,995",January 2019,T3 Bankstown Line
CTP,"40,668",January 2019,T3 Bankstown Line
Day Pass Child/Youth w/o SAF,1,January 2019,T3 Bankstown Line
Day Pass without SAF,10,January 2019,T3 Bankstown Line
Employee,"14,987",January 2019,T3 Bankstown Line
Free Travel,"1,668",January 2019,T3 Bankstown Line
School Student,"4,760",January 2019,T3 Bankstown Line
Senior/Pensioner,"239,250",January 2019,T3 Bankstown Line
Sgl Trip Rail Adult,"14,541",January 2019,T3 Bankstown Line
Sgl Trip Rail Child/Youth,"5,039",January 2019,T3 Bankstown Line
Adult,"4,274,023",January 2019,T4 Eastern Suburbs and Illawarra Line
Child/Youth,"261,385",January 2019,T4 Eastern Suburbs and Illawarra Line
Concession,"190,863",January 2019,T4 Eastern Suburbs and Illawarra Line
CTP,"121,725",January 2019,T4 Eastern Suburbs and Illawarra Line
Day Pass Child/Youth w/o SAF,nan,January 2019,T4 Eastern Suburbs and Illawarra Line
Day Pass without SAF,65,January 2019,T4 Eastern Suburbs and Illawarra Line
Employee,"47,516",January 2019,T4 Eastern Suburbs and Illawarra Line
Free Travel,"6,155",January 2019,T4 Eastern Suburbs and Illawarra Line
School Student,"13,622",January 2019,T4 Eastern Suburbs and Illawarra Line
Senior/Pensioner,"458,011",January 2019,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Adult,"34,427",January 2019,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Child/Youth,"12,410",January 2019,T4 Eastern Suburbs and Illawarra Line
Adult,"443,304",January 2019,T5 Cumberland Line
Child/Youth,"26,971",January 2019,T5 Cumberland Line
Concession,"27,272",January 2019,T5 Cumberland Line
CTP,"5,489",January 2019,T5 Cumberland Line
Employee,"2,863",January 2019,T5 Cumberland Line
Free Travel,97,January 2019,T5 Cumberland Line
School Student,"1,414",January 2019,T5 Cumberland Line
Senior/Pensioner,"56,101",January 2019,T5 Cumberland Line
Sgl Trip Rail Adult,"1,342",January 2019,T5 Cumberland Line
Sgl Trip Rail Child/Youth,417,January 2019,T5 Cumberland Line
Adult,"30,095",January 2019,T6 Carlingford Line
Child/Youth,"1,451",January 2019,T6 Carlingford Line
Concession,"1,619",January 2019,T6 Carlingford Line
CTP,805,January 2019,T6 Carlingford Line
Day Pass without SAF,1,January 2019,T6 Carlingford Line
Employee,"1,296",January 2019,T6 Carlingford Line
Free Travel,16,January 2019,T6 Carlingford Line
School Student,119,January 2019,T6 Carlingford Line
Senior/Pensioner,"3,417",January 2019,T6 Carlingford Line
Sgl Trip Rail Adult,56,January 2019,T6 Carlingford Line
Sgl Trip Rail Child/Youth,12,January 2019,T6 Carlingford Line
Adult,"125,483",January 2019,T7 Olympic Park Line
Child/Youth,"7,047",January 2019,T7 Olympic Park Line
Concession,"6,232",January 2019,T7 Olympic Park Line
CTP,"3,395",January 2019,T7 Olympic Park Line
Day Pass without SAF,2,January 2019,T7 Olympic Park Line
Employee,570,January 2019,T7 Olympic Park Line
Free Travel,58,January 2019,T7 Olympic Park Line
School Student,141,January 2019,T7 Olympic Park Line
Senior/Pensioner,"10,157",January 2019,T7 Olympic Park Line
Sgl Trip Rail Adult,"1,080",January 2019,T7 Olympic Park Line
Sgl Trip Rail Child/Youth,257,January 2019,T7 Olympic Park Line
Adult,"560,421",January 2019,Blue Mountains Line
Child/Youth,"52,803",January 2019,Blue Mountains Line
Concession,"32,996",January 2019,Blue Mountains Line
CTP,"9,951",January 2019,Blue Mountains Line
Day Pass Child/Youth w/o SAF,nan,January 2019,Blue Mountains Line
Day Pass without SAF,30,January 2019,Blue Mountains Line
Employee,"10,610",January 2019,Blue Mountains Line
Free Travel,730,January 2019,Blue Mountains Line
School Student,"2,370",January 2019,Blue Mountains Line
Senior/Pensioner,"99,918",January 2019,Blue Mountains Line
Sgl Trip Rail Adult,"4,757",January 2019,Blue Mountains Line
Sgl Trip Rail Child/Youth,"2,175",January 2019,Blue Mountains Line
Adult,"908,510",January 2019,Central Coast Newcastle Line
Child/Youth,"87,599",January 2019,Central Coast Newcastle Line
Concession,"57,556",January 2019,Central Coast Newcastle Line
CTP,"17,970",January 2019,Central Coast Newcastle Line
Day Pass Child/Youth w/o SAF,nan,January 2019,Central Coast Newcastle Line
Day Pass without SAF,79,January 2019,Central Coast Newcastle Line
Employee,"19,244",January 2019,Central Coast Newcastle Line
Free Travel,"2,349",January 2019,Central Coast Newcastle Line
School Student,"6,037",January 2019,Central Coast Newcastle Line
Senior/Pensioner,"184,862",January 2019,Central Coast Newcastle Line
Sgl Trip Rail Adult,"11,857",January 2019,Central Coast Newcastle Line
Sgl Trip Rail Child/Youth,"5,285",January 2019,Central Coast Newcastle Line
Adult,"35,375",January 2019,Hunter Line
Child/Youth,"6,713",January 2019,Hunter Line
Concession,"3,986",January 2019,Hunter Line
CTP,"1,440",January 2019,Hunter Line
Day Pass Child/Youth w/o SAF,nan,January 2019,Hunter Line
Day Pass without SAF,21,January 2019,Hunter Line
Employee,526,January 2019,Hunter Line
Free Travel,210,January 2019,Hunter Line
School Student,336,January 2019,Hunter Line
Senior/Pensioner,"13,773",January 2019,Hunter Line
Sgl Trip Rail Adult,720,January 2019,Hunter Line
Sgl Trip Rail Child/Youth,834,January 2019,Hunter Line
Adult,"557,375",January 2019,South Coast Line
Child/Youth,"53,010",January 2019,South Coast Line
Concession,"33,370",January 2019,South Coast Line
CTP,"16,192",January 2019,South Coast Line
Day Pass Child/Youth w/o SAF,nan,January 2019,South Coast Line
Day Pass without SAF,25,January 2019,South Coast Line
Employee,"7,177",January 2019,South Coast Line
Free Travel,858,January 2019,South Coast Line
School Student,"2,213",January 2019,South Coast Line
Senior/Pensioner,"100,912",January 2019,South Coast Line
Sgl Trip Rail Adult,"5,398",January 2019,South Coast Line
Sgl Trip Rail Child/Youth,"2,211",January 2019,South Coast Line
Adult,"50,462",January 2019,Southern Highlands Line
Child/Youth,"8,745",January 2019,Southern Highlands Line
Concession,"3,377",January 2019,Southern Highlands Line
CTP,"1,316",January 2019,Southern Highlands Line
Day Pass without SAF,5,January 2019,Southern Highlands Line
Employee,770,January 2019,Southern Highlands Line
Free Travel,123,January 2019,Southern Highlands Line
School Student,174,January 2019,Southern Highlands Line
Senior/Pensioner,"17,372",January 2019,Southern Highlands Line
Sgl Trip Rail Adult,413,January 2019,Southern Highlands Line
Sgl Trip Rail Child/Youth,230,January 2019,Southern Highlands Line
Adult,"379,817",January 2019,Station Link
Child/Youth,"28,994",January 2019,Station Link
Concession,"31,646",January 2019,Station Link
Day Pass without SAF,1,January 2019,Station Link
Employee,"1,089",January 2019,Station Link
Free Travel,284,January 2019,Station Link
School Student,"1,438",January 2019,Station Link
Senior/Pensioner,"26,890",January 2019,Station Link
Sgl Trip Rail Adult,247,January 2019,Station Link
Sgl Trip Rail Child/Youth,96,January 2019,Station Link
Adult,"3,281,678",January 2019,T1 North Shore Line
Child/Youth,"224,353",January 2019,T1 North Shore Line
Concession,"179,009",January 2019,T1 North Shore Line
CTP,"83,264",January 2019,T1 North Shore Line
Day Pass Child/Youth w/o SAF,nan,January 2019,T1 North Shore Line
Day Pass without SAF,22,January 2019,T1 North Shore Line
Employee,"27,947",January 2019,T1 North Shore Line
Free Travel,"4,598",January 2019,T1 North Shore Line
School Student,"20,487",January 2019,T1 North Shore Line
Senior/Pensioner,"312,490",January 2019,T1 North Shore Line
Sgl Trip Rail Adult,"24,778",January 2019,T1 North Shore Line
Sgl Trip Rail Child/Youth,"8,672",January 2019,T1 North Shore Line
Adult,"1,542,273",January 2019,T1 Northern Line
Child/Youth,"97,415",January 2019,T1 Northern Line
Concession,"98,795",January 2019,T1 Northern Line
CTP,"33,780",January 2019,T1 Northern Line
Day Pass Child/Youth w/o SAF,nan,January 2019,T1 Northern Line
Day Pass without SAF,3,January 2019,T1 Northern Line
Employee,"16,552",January 2019,T1 Northern Line
Free Travel,"1,263",January 2019,T1 Northern Line
School Student,"7,225",January 2019,T1 Northern Line
Senior/Pensioner,"160,756",January 2019,T1 Northern Line
Sgl Trip Rail Adult,"6,907",January 2019,T1 Northern Line
Sgl Trip Rail Child/Youth,"2,427",January 2019,T1 Northern Line
Adult,"3,108,795",January 2019,T1 Western Line
Child/Youth,"185,622",January 2019,T1 Western Line
Concession,"185,704",January 2019,T1 Western Line
CTP,"59,280",January 2019,T1 Western Line
Day Pass Child/Youth w/o SAF,11,January 2019,T1 Western Line
Day Pass without SAF,151,January 2019,T1 Western Line
Employee,"46,479",January 2019,T1 Western Line
Free Travel,"4,135",January 2019,T1 Western Line
School Student,"11,654",January 2019,T1 Western Line
Senior/Pensioner,"342,645",January 2019,T1 Western Line
Sgl Trip Rail Adult,"19,667",January 2019,T1 Western Line
Sgl Trip Rail Child/Youth,"8,036",January 2019,T1 Western Line
Adult,"1,468,544",January 2019,T2 Inner West Line
Child/Youth,"75,183",January 2019,T2 Inner West Line
Concession,"77,234",January 2019,T2 Inner West Line
CTP,"36,308",January 2019,T2 Inner West Line
Day Pass Child/Youth w/o SAF,nan,January 2019,T2 Inner West Line
Day Pass without SAF,7,January 2019,T2 Inner West Line
Employee,"16,825",January 2019,T2 Inner West Line
Free Travel,"1,199",January 2019,T2 Inner West Line
School Student,"4,316",January 2019,T2 Inner West Line
Senior/Pensioner,"138,986",January 2019,T2 Inner West Line
Sgl Trip Rail Adult,"11,470",January 2019,T2 Inner West Line
Sgl Trip Rail Child/Youth,"3,186",January 2019,T2 Inner West Line
Adult,"1,896,752",January 2019,T2 Leppington Line
Child/Youth,"119,785",January 2019,T2 Leppington Line
Concession,"119,550",January 2019,T2 Leppington Line
CTP,"41,403",January 2019,T2 Leppington Line
Day Pass Child/Youth w/o SAF,1,January 2019,T2 Leppington Line
Day Pass without SAF,30,January 2019,T2 Leppington Line
Employee,"23,305",January 2019,T2 Leppington Line
Free Travel,"2,136",January 2019,T2 Leppington Line
School Student,"6,080",January 2019,T2 Leppington Line
Senior/Pensioner,"262,213",January 2019,T2 Leppington Line
Sgl Trip Rail Adult,"14,656",January 2019,T2 Leppington Line
Sgl Trip Rail Child/Youth,"4,694",January 2019,T2 Leppington Line
Adult,"2,782,379",January 2019,T8 Airport and South Line
Child/Youth,"161,670",January 2019,T8 Airport and South Line
Concession,"137,166",January 2019,T8 Airport and South Line
CTP,"86,528",January 2019,T8 Airport and South Line
Day Pass Child/Youth w/o SAF,2,January 2019,T8 Airport and South Line
Day Pass without SAF,41,January 2019,T8 Airport and South Line
Employee,"36,982",January 2019,T8 Airport and South Line
Free Travel,"3,507",January 2019,T8 Airport and South Line
School Student,"6,318",January 2019,T8 Airport and South Line
Senior/Pensioner,"244,054",January 2019,T8 Airport and South Line
Sgl Trip Rail Adult,"98,039",January 2019,T8 Airport and South Line
Sgl Trip Rail Child/Youth,"17,104",January 2019,T8 Airport and South Line
Adult,nan,January 2019,T9 Northern Line
Child/Youth,nan,January 2019,T9 Northern Line
Concession,nan,January 2019,T9 Northern Line
CTP,nan,January 2019,T9 Northern Line
Employee,nan,January 2019,T9 Northern Line
Free Travel,nan,January 2019,T9 Northern Line
School Student,nan,January 2019,T9 Northern Line
Senior/Pensioner,nan,January 2019,T9 Northern Line
Sgl Trip Rail Adult,nan,January 2019,T9 Northern Line
Sgl Trip Rail Child/Youth,nan,January 2019,T9 Northern Line
Total,"29,925,564",January 2019,Grand Total
Adult,nan,February 2019,"T1 North Shore, Northern and Western Line"
Child/Youth,nan,February 2019,"T1 North Shore, Northern and Western Line"
Concession,nan,February 2019,"T1 North Shore, Northern and Western Line"
Day Pass Child/Youth w/o SAF,nan,February 2019,"T1 North Shore, Northern and Western Line"
Day Pass without SAF,nan,February 2019,"T1 North Shore, Northern and Western Line"
Employee,nan,February 2019,"T1 North Shore, Northern and Western Line"
Free Travel,nan,February 2019,"T1 North Shore, Northern and Western Line"
School Student,nan,February 2019,"T1 North Shore, Northern and Western Line"
Senior/Pensioner,nan,February 2019,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Adult,nan,February 2019,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Child/Youth,nan,February 2019,"T1 North Shore, Northern and Western Line"
Adult,nan,February 2019,"T2 Airport, Inner West and South Line"
Child/Youth,nan,February 2019,"T2 Airport, Inner West and South Line"
Concession,nan,February 2019,"T2 Airport, Inner West and South Line"
Day Pass Child/Youth w/o SAF,nan,February 2019,"T2 Airport, Inner West and South Line"
Day Pass without SAF,nan,February 2019,"T2 Airport, Inner West and South Line"
Employee,nan,February 2019,"T2 Airport, Inner West and South Line"
Free Travel,nan,February 2019,"T2 Airport, Inner West and South Line"
School Student,nan,February 2019,"T2 Airport, Inner West and South Line"
Senior/Pensioner,nan,February 2019,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Adult,nan,February 2019,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Child/Youth,nan,February 2019,"T2 Airport, Inner West and South Line"
Adult,"1,756,545",February 2019,T3 Bankstown Line
Child/Youth,"80,983",February 2019,T3 Bankstown Line
Concession,"136,224",February 2019,T3 Bankstown Line
CTP,"43,070",February 2019,T3 Bankstown Line
Day Pass Child/Youth w/o SAF,nan,February 2019,T3 Bankstown Line
Day Pass without SAF,9,February 2019,T3 Bankstown Line
Employee,"16,078",February 2019,T3 Bankstown Line
Free Travel,"1,723",February 2019,T3 Bankstown Line
School Student,"70,752",February 2019,T3 Bankstown Line
Senior/Pensioner,"248,638",February 2019,T3 Bankstown Line
Sgl Trip Rail Adult,"12,612",February 2019,T3 Bankstown Line
Sgl Trip Rail Child/Youth,"3,040",February 2019,T3 Bankstown Line
Adult,"4,410,384",February 2019,T4 Eastern Suburbs and Illawarra Line
Child/Youth,"166,644",February 2019,T4 Eastern Suburbs and Illawarra Line
Concession,"237,772",February 2019,T4 Eastern Suburbs and Illawarra Line
CTP,"136,517",February 2019,T4 Eastern Suburbs and Illawarra Line
Day Pass Child/Youth w/o SAF,6,February 2019,T4 Eastern Suburbs and Illawarra Line
Day Pass without SAF,54,February 2019,T4 Eastern Suburbs and Illawarra Line
Employee,"51,297",February 2019,T4 Eastern Suburbs and Illawarra Line
Free Travel,"6,692",February 2019,T4 Eastern Suburbs and Illawarra Line
School Student,"176,732",February 2019,T4 Eastern Suburbs and Illawarra Line
Senior/Pensioner,"483,951",February 2019,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Adult,"29,590",February 2019,T4 Eastern Suburbs and Illawarra Line
Sgl Trip Rail Child/Youth,"6,887",February 2019,T4 Eastern Suburbs and Illawarra Line
Adult,"424,774",February 2019,T5 Cumberland Line
Child/Youth,"14,641",February 2019,T5 Cumberland Line
Concession,"33,942",February 2019,T5 Cumberland Line
CTP,"5,599",February 2019,T5 Cumberland Line
Employee,"3,051",February 2019,T5 Cumberland Line
Free Travel,120,February 2019,T5 Cumberland Line
School Student,"20,129",February 2019,T5 Cumberland Line
Senior/Pensioner,"52,224",February 2019,T5 Cumberland Line
Sgl Trip Rail Adult,"1,102",February 2019,T5 Cumberland Line
Sgl Trip Rail Child/Youth,183,February 2019,T5 Cumberland Line
Adult,"32,674",February 2019,T6 Carlingford Line
Child/Youth,964,February 2019,T6 Carlingford Line
Concession,"2,254",February 2019,T6 Carlingford Line
CTP,808,February 2019,T6 Carlingford Line
